!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
TP number      Age                      Mcore                      surface_opacity           surface_c12/c13           surface_n14/n15          surface_c/o
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
           1   781347949.80458248       0.50669516715099472        3.6762633845328079E-003   20.877674294947468        1300.3248739793810       0.18555022968963419     
           2   781556824.27991807       0.50970737007113365        3.6560208345694728E-003   20.877674182723680        1300.3249058425511       0.18555022968838447     
           3   781676524.97094786       0.51206666176126736        3.1422715218684268E-003   20.877673781734451        1300.3250261091880       0.18555022968470325     
           4   781816058.88460946       0.51536936073674555        2.6580474608053329E-003   20.877672569280318        1300.3254507908350       0.18555022968120127     
           5   781960445.14613008       0.51903764139575115        2.4378435845465139E-003   20.877670437966199        1300.3262734964935       0.18555022968457313     
           6   782112872.50982177       0.52365708165731473        2.1205368792123966E-003   20.877667122843032        1300.3276329078878       0.18555022969978924     
           7   782264045.20048666       0.52851151111762040        1.9638153096974034E-003   20.877628603913518        1300.3464134087651       0.18555023023496653     
           8   782415469.67472625       0.53410532738512528        1.7575318207555177E-003   20.877481648504649        1300.3948979175896       0.18555022893697229     
           9   782563405.57398343       0.53997360157988972        1.6203506347271996E-003   20.875490392976452        1300.5111792189978       0.18554981110386667     
          10   782706531.76593339       0.54625373428056123        1.4853690165905404E-003   20.872177206963990        1300.6716292222616       0.18554677640064543     
          11   782843582.20384681       0.55276594494355658        1.3756029325930411E-003   20.868934657819882        1300.8989051769283       0.18553796948415852     
          12   782973417.84991646       0.55945678948608224        1.2786032483343656E-003   20.865811705638830        1301.1770704714522       0.18552513636158505     
          13   783095723.35924840       0.56626109938417457        1.1938392161692608E-003   20.862746246175764        1301.5155268434312       0.18550987219888029     
          14   783210468.23149455       0.57312669960675533        1.1196502849223453E-003   20.859762929855933        1301.8868622064085       0.18549503435705336     
          15   783317805.80463862       0.58000910597584698        1.0542266418452474E-003   20.856807696894162        1302.3036870880117       0.18548130246433445     
          16   783418035.21811569       0.58687382467699389        9.9597083773951198E-004   20.853927567905185        1302.7375865091374       0.18546871709666049     
          17   783511578.61947274       0.59369619539402851        9.4427671566092209E-004   20.851152023835766        1303.1701600564468       0.18545710034924531     
          18   783598836.44290042       0.60045181389332636        8.9824408524255789E-004   20.848471354242307        1303.6008447462352       0.18544635255536368     
          19   783680289.19904363       0.60712987175038879        8.5664660691228581E-004   20.845895848565313        1304.0216596544442       0.18543634371646883     
          20   783756370.81708503       0.61370873250605318        8.1946518880767090E-004   20.843406043053882        1304.4368302712876       0.18542702318699497     
          21   783827486.34316969       0.62017867518315040        7.8589325536884756E-004   20.840971310052318        1304.8550912789474       0.18541836669972769     
          22   783894053.49066854       0.62653551190170376        7.5561538234958489E-004   20.838637609119086        1305.2564636049631       0.18541020043234760     
          23   783956438.66015422       0.63277209246082755        7.2805585747136097E-004   20.836389495215467        1305.6448553654845       0.18540249245605922     
          24   784014985.61757815       0.63888320994194725        7.0317462695423829E-004   20.834204515278383        1306.0265916209369       0.18539522454370075     
          25   784070015.03186321       0.64486643822187562        6.8039280932103297E-004   20.832061734368761        1306.4074149819608       0.18538838518744111     
          26   784121811.06985891       0.65072048061553722        6.5949850693006293E-004   20.829990169125313        1306.7754704566762       0.18538186589017583     
          27   784170640.82045126       0.65644363031824293        6.4040010522741560E-004   20.827894289698694        1307.1623007278697       0.18537581432489833     
          28   784216775.98957348       0.66203996381561037        6.2288406554815337E-004   20.825797239177330        1307.5579874844755       0.18537014534609711     
          29   784260425.56324852       0.66750252793218567        6.0698810402964442E-004   20.823573322968659        1308.0009177808051       0.18536508608904212     
          30   784301795.61101544       0.67283893043169773        5.9239634605521218E-004   20.821275976626961        1308.4722344872037       0.18536048956115453     
          31   784341077.88583267       0.67802444166674425        5.7923989407262708E-004   20.818403922196477        1309.1266968701646       0.18535739605381418     
